average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.154269,-0.01842516283504665,8.0261965,0.23348859243094922,366.46,21.0,380.82,21.76,0.7911145144960172,875,4392,183.0,46848,1499136
2.1695328,-0.018018680615350603,7.771959,0.20263766847550868,369.7,21.29,385.76,23.0,0.857800949862374,876,4416,184.0,47104,1507328
2.113291,-0.018203691570088266,7.971389,0.22075560323894025,378.44,22.33,383.13,23.14,0.7445595173048112,878,4440,185.0,47360,1515520
2.168751,-0.01914141369983554,7.678255,0.20262112103402616,386.97,22.88,382.82,23.59,0.766426627037752,870,4464,186.0,47616,1523712
2.1081812,-0.018688713517040014,7.494899,0.23419681765139103,385.34,22.78,378.25,22.64,0.7027920376455405,880,4488,187.0,47872,1531904
2.1187987,-0.016711789863184095,7.754564,0.2680838693678379,378.56,21.47,374.84,22.16,0.784911486282801,882,4512,188.0,48128,1540096
2.1307447,-0.015407472313381732,8.007734,0.25324530854821203,384.63,22.29,378.28,22.03,0.7595924476161877,881,4536,189.0,48384,1548288
2.1474268,-0.015810395427979528,7.7566285,0.2739676049351692,377.62,20.98,374.96,21.69,0.6492971595487682,881,4560,190.0,48640,1556480
2.1510487,-0.014887052639387548,8.017377,0.2606497173011303,382.8,21.23,384.24,22.71,0.5221058165295666,880,4584,191.0,48896,1564672
2.1889896,-0.016734743022825568,7.9070454,0.21646809682250023,389.67,22.37,383.42,23.36,0.7990955862780402,880,4608,192.0,49152,1572864
2.1203966,-0.016901497452054173,7.915794,0.2630819782614708,383.45,21.83,384.38,23.96,0.6153835534636714,873,4632,193.0,49408,1581056
