average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_change,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.1619015,-0.01728539811912924,1.1071157,0.15200450975447893,0.17920262255661545,168.89,4.88,166.22,5.07,0.6729256432569825,853,2016,84.0,21504,688128
2.1758785,-0.016257755560800433,0.9929625,0.1363419459015131,0.18050723576119967,165.27,4.73,173.34,4.9,0.6577016741826064,860,2040,85.0,21760,696320
2.121281,-0.01598157700151205,1.1163243,0.16262484587728976,0.1809544711861582,185.23,5.57,175.02,4.91,0.6497741191672116,855,2064,86.0,22016,704512
2.119244,-0.01554075897205621,1.2330718,0.17013992585241794,0.18223379583408436,190.67,5.65,181.8,6.01,0.7359981955165851,859,2088,87.0,22272,712704
2.0823991,-0.01586580272298306,1.2396404,0.17054462760686875,0.18333920565921635,189.1,5.85,192.71,6.64,0.7439947182943477,860,2112,88.0,22528,720896
1.9548025,-0.01831149590201676,1.7789502,0.1898074719309807,0.1835915351818715,218.38,7.6,219.46,8.2,0.757819100335891,859,2136,89.0,22784,729088
2.0305264,-0.017233647885732353,1.6402453,0.1736151348054409,0.18361782814775193,218.55,8.09,217.35,7.74,0.767369815369278,863,2160,90.0,23040,737280
2.06352,-0.017304863622412084,1.5149134,0.1730910415202379,0.18445187944564082,217.81,8.09,217.49,8.1,0.7918105723379918,860,2184,91.0,23296,745472
2.0396788,-0.01596261407248676,1.8375221,0.2007748743891716,0.18573277439212516,211.62,8.19,220.14,8.18,0.759822155588482,852,2208,92.0,23552,753664
1.9953476,-0.013871102593839169,1.8172708,0.20208700083196163,0.18687040207996256,232.04,9.41,231.07,7.97,0.8322633415652371,855,2232,93.0,23808,761856
1.9057207,-0.013841724772937596,2.2853222,0.2314807987958193,0.18770154343829268,257.43,10.78,254.29,8.81,0.8330442530573381,861,2256,94.0,24064,770048
2.0025182,-0.014737202385440469,2.283304,0.24315425388514997,0.18804498855024576,253.99,10.14,264.18,9.34,0.7518594844681871,861,2280,95.0,24320,778240
1.9421394,-0.01532474516890943,2.1301427,0.26832181215286255,0.18908249994828588,272.16,11.57,274.07,9.7,0.8007349513854507,855,2304,96.0,24576,786432
1.9050947,-0.015339198424480855,2.974853,0.2814881600439548,0.18992255410800377,282.48,12.58,273.74,10.03,0.8206051025930409,861,2328,97.0,24832,794624
1.996294,-0.017460307851433755,2.4972188,0.2850532242655754,0.19090717653965666,272.5,12.09,272.85,9.78,0.8121811523076088,862,2352,98.0,25088,802816
2.1108034,-0.01731321407482028,2.5383985,0.2985958929359913,0.1917217985859939,270.52,11.14,254.73,9.51,0.8139170263948828,851,2376,99.0,25344,811008
1.9836221,-0.01769890420138836,2.6191294,0.29319723293185235,0.19261656852350348,264.37,10.6,268.23,10.61,0.8341181074160541,862,2400,100.0,25600,819200
2.0148041,-0.01753070785664022,3.0326517,0.29735940918326376,0.19389956772682213,261.25,10.47,264.93,10.61,0.7507482800267914,862,2424,101.0,25856,827392
1.953727,-0.017889404026791452,2.8904307,0.29927036017179487,0.19459069595627843,262.8,11.42,284.24,11.65,0.8364385522229083,860,2448,102.0,26112,835584
1.9874402,-0.01787973032100126,2.7212086,0.2839222598075867,0.1960122569331101,274.2,11.8,296.46,12.67,0.8156777380553285,860,2472,103.0,26368,843776
1.8485276,-0.01783027666853741,3.2562668,0.2838308344781399,0.19663117076492026,277.08,13.23,298.44,13.32,0.8559096133993076,860,2496,104.0,26624,851968
1.9485359,-0.018697221470065414,2.6477222,0.2803651824593544,0.19775464509924254,298.53,13.95,306.17,14.79,0.7956488450247319,860,2520,105.0,26880,860160
1.991085,-0.017844122587703168,2.9080667,0.27922256201505663,0.19986411263900145,297.14,13.89,309.37,15.01,0.8366623678860619,857,2544,106.0,27136,868352
1.8317457,-0.018548156300093977,3.3744032,0.29847413882613183,0.20092073499801613,299.57,14.06,286.6,13.5,0.8312885131717889,861,2568,107.0,27392,876544
1.8124712,-0.016592216871213167,3.5942397,0.30976536333560944,0.20139124585936466,308.2,13.84,261.97,10.52,0.7960269846825622,850,2592,108.0,27648,884736
1.9628115,-0.017332224703859537,3.7899814,0.3273627927899361,0.20270233100191468,296.36,13.16,273.26,10.9,0.8118095626033158,861,2616,109.0,27904,892928
1.8854202,-0.018392640599049628,3.8277225,0.33313842087984086,0.20323169541855654,293.9,12.95,282.23,11.5,0.8189484454587568,860,2640,110.0,28160,901120
1.9408427,-0.0195105570089072,3.517853,0.33836898624897005,0.20335711410180443,288.66,13.12,298.79,13.18,0.8210044025703497,860,2664,111.0,28416,909312
1.8791897,-0.019992514965124428,3.7662587,0.3662570682168007,0.2038207138844189,292.09,13.39,300.24,13.81,0.7474540900143487,857,2688,112.0,28672,917504
1.930742,-0.021619873140007257,3.69298,0.3521147121489048,0.20482471702797783,302.65,13.55,296.56,13.59,0.7843483409454565,858,2712,113.0,28928,925696
1.9422367,-0.020480768780689686,4.2405734,0.3809916888177395,0.2063695047982037,309.48,13.99,313.55,15.05,0.7786286523311079,861,2736,114.0,29184,933888
1.901885,-0.01838979705469683,4.055989,0.3878632955253124,0.20842745722759337,316.12,13.57,316.4,14.59,0.7701670101054751,852,2760,115.0,29440,942080
1.9150578,-0.01837706549325958,3.5056365,0.3731478427350521,0.21048567597089068,309.23,13.09,330.39,15.76,0.7843986206074762,862,2784,116.0,29696,950272
1.8473527,-0.018843633790966124,3.9276407,0.3673867963254452,0.21061881984184896,307.53,13.63,329.72,15.7,0.8166396780311276,861,2808,117.0,29952,958464
1.7251086,-0.016132876491174102,4.224862,0.35893126130104064,0.2109858113828869,314.66,13.43,327.28,14.83,0.757604206212371,856,2832,118.0,30208,966656
