average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer0,avg_frob_kernel_diff_layer1,avg_frob_kernel_diff_layer10,avg_frob_kernel_diff_layer11,avg_frob_kernel_diff_layer12,avg_frob_kernel_diff_layer13,avg_frob_kernel_diff_layer14,avg_frob_kernel_diff_layer2,avg_frob_kernel_diff_layer3,avg_frob_kernel_diff_layer4,avg_frob_kernel_diff_layer5,avg_frob_kernel_diff_layer6,avg_frob_kernel_diff_layer7,avg_frob_kernel_diff_layer8,avg_frob_kernel_diff_layer9,avg_frob_kernel_layer0,avg_frob_kernel_layer1,avg_frob_kernel_layer10,avg_frob_kernel_layer11,avg_frob_kernel_layer12,avg_frob_kernel_layer13,avg_frob_kernel_layer14,avg_frob_kernel_layer2,avg_frob_kernel_layer3,avg_frob_kernel_layer4,avg_frob_kernel_layer5,avg_frob_kernel_layer6,avg_frob_kernel_layer7,avg_frob_kernel_layer8,avg_frob_kernel_layer9,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.6306221,-0.00432837220840156,-0.51004124,0.10728469356894493,1.775258630514145,1.7361032287279765,1.7381247421105703,1.7342108249664308,1.742973228295644,1.7323935170968374,1.7369361877441407,1.7397603352864583,1.732040148973465,1.7329919656117758,1.7343685448169708,1.7384812772274016,1.730743227402369,1.732811798652013,1.73897745013237,0.3396334653099378,0.11625889850159486,0.10734336189925671,0.10488993525505066,0.10770452525466681,0.10609685269494852,0.10791342606147131,0.11564922581116359,0.11494448445737362,0.11256158364315828,0.11814769481619199,0.10516350492835044,0.10435594506561756,0.1035510789602995,0.10258023204902808,75.92,-1.76,79.46,-1.4,0.616327331065113,882,264,11.0,2816,90112
2.611315,-0.005023966417647898,-0.5567121,0.0939284137636423,1.7749970018863679,1.7362116972605388,1.7382483661174775,1.7342134356498717,1.7434733549753825,1.7322001099586486,1.736499834060669,1.7394168496131897,1.732198848327001,1.733229653040568,1.734258109331131,1.738030211130778,1.7307357490062714,1.7325198431809743,1.7396481931209564,0.33976924320062,0.11649721240003903,0.10787479411810637,0.10473590412487586,0.10752087986717622,0.10658145422736803,0.10852070053418478,0.1163138035684824,0.11530973650515079,0.11268063448369503,0.11828908460835616,0.10570319928228855,0.10494203964869181,0.10419813717405,0.10310334463914235,76.4,-1.41,75.01,-1.45,0.6023300861235177,883,288,12.0,3072,98304
2.594416,-0.005357728512026369,-0.33603525,0.08059487957507372,1.7748833119869232,1.7363388458887736,1.7382013201713562,1.734309007724126,1.7441826860109966,1.732182466983795,1.73644677400589,1.7395510574181874,1.7322456220785776,1.7338166058063507,1.7345522920290628,1.7375691910584767,1.7308896958827973,1.732467520236969,1.7395454744497936,0.3397311734656493,0.11675569216410318,0.10856170828143756,0.10488271986444792,0.10750853680074215,0.10679387139777342,0.10920527651906013,0.11631478630006313,0.11528167339662711,0.1127222340553999,0.11846287275354067,0.10618746802210807,0.10561957185467084,0.1050590159992377,0.10334005846331516,74.96,-1.22,76.24,-1.44,0.5839098256699498,883,312,13.0,3328,106496
2.576964,-0.00621734019368887,-0.15572345,0.06983685664832592,1.7750043332576753,1.7366535762945812,1.7377788603305817,1.7345307449499765,1.7445219695568084,1.7322258512179056,1.7373834073543548,1.7398820439974467,1.732162630558014,1.7338084161281586,1.7346109131971994,1.737345556418101,1.730921890338262,1.7325949450333913,1.7395803193251291,0.3398723880449931,0.11696654210488001,0.10923802629113197,0.10541860399146875,0.10778869402905306,0.10694460086524486,0.10985112289587656,0.1164148730536302,0.11564536566535631,0.11289413496851922,0.11880718792478244,0.1066883396357298,0.10608711900810401,0.1061679029216369,0.10346804348131021,79.34,-1.07,73.7,-1.3,0.6297798343668387,880,336,14.0,3584,114688
2.5749028,-0.007058860831893981,-0.2012176,0.06350841000676155,1.7747477392355602,1.7367683490117392,1.737529275814692,1.7355353554089865,1.7458456854025524,1.7323207934697469,1.7385278999805451,1.7394139766693115,1.7320703566074371,1.7337858617305755,1.7346045474211376,1.7379448274771372,1.7308967610200245,1.7325142721335094,1.7395042061805726,0.3398369843761126,0.11727005280554295,0.10969450809061528,0.10596532747149467,0.10889133469512065,0.10742743201553821,0.11092412794629733,0.11669036286572615,0.11568462612728278,0.11317464237411817,0.11919495003918806,0.10700731488565604,0.10681057522694269,0.10664846189320087,0.10364695613582929,73.03,-1.4,72.47,-1.09,0.6482270200736028,873,360,15.0,3840,122880
2.557382,-0.00833210798446089,-0.15851317,0.06212862391024828,1.7747683425744374,1.7371556301911673,1.7376543581485748,1.735724820693334,1.7461881756782531,1.7323798418045044,1.7387751837571461,1.7393697162469228,1.7321587443351745,1.7340130090713501,1.7344601174195609,1.7385346114635467,1.7309455653031667,1.7329794645309449,1.7394621094067892,0.3400491053859393,0.11757680848240852,0.11027481413135926,0.10601773299276829,0.10982541951040427,0.10764477190872034,0.11146052293479443,0.11699060561756293,0.11580427139997482,0.11359999167422453,0.11961365826427936,0.10745594302813212,0.10711693428456784,0.10737520611534516,0.10361400327334801,78.12,-1.33,73.91,-1.62,0.5643415966222823,881,384,16.0,4096,131072
2.5829473,-0.008695304789580405,-0.15345725,0.06418286476284266,1.7744573771953582,1.737123926480611,1.7374157269795736,1.7353396495183309,1.7476519803206125,1.7321330507596333,1.7393876612186432,1.7393522441387177,1.731754853328069,1.7339447836081188,1.7343781252702077,1.7387163738409679,1.73142698208491,1.7329382201035817,1.7394673109054566,0.34011701891819635,0.11788462921977043,0.11080947425216436,0.10619996252159278,0.11089748094479243,0.10811897950867812,0.11221348779896895,0.11777897588908673,0.11604822240769863,0.1142308154453834,0.11977806836366653,0.10777147027353445,0.1076591802140077,0.10784672908484935,0.10366482535998027,72.51,-1.26,74.0,-1.11,0.5968091084804552,881,408,17.0,4352,139264
2.5926733,-0.009767190325073899,-0.2211749,0.06558542810380459,1.7741022527217865,1.7370851794878641,1.7372703234354654,1.7354153096675873,1.748371821641922,1.7324098706245423,1.7399557570616404,1.739370193084081,1.7317220330238343,1.7336913486321768,1.7342835903167724,1.738693686326345,1.731813669204712,1.7328891774018607,1.7393148044745128,0.3400797205666701,0.11834019261101882,0.11121657981226842,0.10668013325581947,0.11170530449599028,0.10861155825356643,0.11303061358630657,0.11832831675807635,0.11651797816157342,0.11439176114896933,0.11994484551250935,0.10799932902057965,0.10799218118190765,0.10866543619583051,0.1039637782300512,73.57,-1.12,77.42,-1.21,0.6063070430140057,883,432,18.0,4608,147456
2.6081078,-0.011534967944025993,-0.30373168,0.06339621890336275,1.7742247939109803,1.736741840839386,1.7373306651910145,1.7350380400816598,1.7488818724950155,1.7319319009780885,1.7400395452976227,1.7396229088306427,1.7312596758206686,1.7338589648405711,1.7343193689982097,1.7387184341748556,1.7318438947200776,1.7332679271697997,1.739287366469701,0.34029388427734375,0.11861783377826214,0.11191001590341329,0.10672595681001742,0.1122380302598079,0.10946271407107512,0.11382304665942987,0.11870942612489065,0.11699783143897852,0.11466770693659782,0.12033482740322748,0.10848559016982715,0.10857876936594645,0.1090980396916469,0.10392683489869038,76.21,-1.29,74.87,-1.24,0.6869483630080626,883,456,19.0,4864,155648
2.593982,-0.012692125872708857,-0.36245763,0.06185676585882902,1.7742290099461873,1.7371092061201732,1.7371635337670643,1.7352956295013429,1.7484695633252463,1.7319429179032644,1.7408845682938894,1.739672831694285,1.7316172540187835,1.7337906916936239,1.7344157139460246,1.739189120133718,1.731884733835856,1.7336606462796529,1.7392733633518218,0.34044476548830666,0.11920558338363965,0.11230840906500816,0.10703993942588567,0.11305881061901649,0.1097691877434651,0.11502032180627188,0.11940862772365411,0.11754301898181438,0.11495713293552398,0.1204068385064602,0.10892744523783525,0.10894007210930189,0.10988239677002033,0.10404297057539225,73.68,-1.04,75.51,-1.42,0.6842926798832374,882,480,20.0,5120,163840
