average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer0,avg_frob_kernel_diff_layer1,avg_frob_kernel_diff_layer10,avg_frob_kernel_diff_layer11,avg_frob_kernel_diff_layer12,avg_frob_kernel_diff_layer13,avg_frob_kernel_diff_layer14,avg_frob_kernel_diff_layer2,avg_frob_kernel_diff_layer3,avg_frob_kernel_diff_layer4,avg_frob_kernel_diff_layer5,avg_frob_kernel_diff_layer6,avg_frob_kernel_diff_layer7,avg_frob_kernel_diff_layer8,avg_frob_kernel_diff_layer9,avg_frob_kernel_layer0,avg_frob_kernel_layer1,avg_frob_kernel_layer10,avg_frob_kernel_layer11,avg_frob_kernel_layer12,avg_frob_kernel_layer13,avg_frob_kernel_layer14,avg_frob_kernel_layer2,avg_frob_kernel_layer3,avg_frob_kernel_layer4,avg_frob_kernel_layer5,avg_frob_kernel_layer6,avg_frob_kernel_layer7,avg_frob_kernel_layer8,avg_frob_kernel_layer9,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.6667762,-0.0073199238860979675,-0.20906375,0.09700659789144993,1.7540237446626028,1.7322229425112405,1.7301708181699118,1.7393523852030437,1.7366221209367116,1.7337900340557098,1.7385294278462728,1.7330337146917978,1.7337151070435841,1.736243184407552,1.7410704096158345,1.7340649882952373,1.745857592423757,1.7309864560763042,1.7427129646142323,0.33861303453644115,0.11317663590113322,0.10802672238399585,0.10539875427881877,0.10447092056274414,0.10145957469940185,0.1044335030640165,0.10697174208859603,0.11443843375891447,0.11674605707327525,0.11650300559898218,0.10170137695968151,0.10833394862711429,0.10219836924225092,0.10147230053941408,81.65,-1.66,81.67,-1.71,0.5476495418569011,885,264,11.0,2816,90112
2.6633368,-0.008454470671713352,-0.35392836,0.09262496061623096,1.7538556079069774,1.7325978696346283,1.7305990040302277,1.7394988059997558,1.7372077604134877,1.7336963097254434,1.7393420775731405,1.7328620036443074,1.7341299613316854,1.7355517109235128,1.7409027934074401,1.7339196185270944,1.7460775832335154,1.7309035221735636,1.7428003271420798,0.3385861481229464,0.11376500005523364,0.1084712181861202,0.10593387794991334,0.10489142052829266,0.10187380400796732,0.10524635321150223,0.10683761506030957,0.11525687295943499,0.11694053709506988,0.117255154500405,0.10207144245505333,0.10858117590347925,0.10256430072089036,0.10189427323639393,79.97,-1.34,80.44,-2.2,0.5155156677495676,885,288,12.0,3072,98304
2.6375065,-0.009661861089989543,-0.3910245,0.08567564010620117,1.7538214067618052,1.7326808591683707,1.7311118423938752,1.7393850684165955,1.737314416964849,1.7332368115584056,1.740165998538335,1.7329294820626577,1.7333682159582773,1.7356453975041708,1.7406989097595216,1.7336113115151723,1.7463937600453694,1.730660218000412,1.7428111553192138,0.33867941026886306,0.1139802310615778,0.10908924223234256,0.10603058530638615,0.1052185603727897,0.1018849557886521,0.10621365786840518,0.1067686131844918,0.11591126571098963,0.11711009070277215,0.11804319421450298,0.10209171076615652,0.10904751978814602,0.10278752918044726,0.10236346274614334,83.57,-1.74,80.33,-1.49,0.5440195919156829,887,312,13.0,3328,106496
2.629647,-0.010019372552633285,-0.26483935,0.08124094795435667,1.7537410080432891,1.7326654613018035,1.7311142305533092,1.7396940509478251,1.736827168862025,1.7326695581277212,1.740704603989919,1.7327241996924083,1.7335426966349283,1.7357262988885245,1.7401946385701497,1.7335124572118124,1.7462928533554076,1.7308760245641073,1.742721035083135,0.33875393817822136,0.11393202729523182,0.10974016400674978,0.10585868706305822,0.10527066774666309,0.1020727090537548,0.10777871975054344,0.10683276907851298,0.11603171055515607,0.11723740585148335,0.11852484519282977,0.1019829244663318,0.1092799212783575,0.10313828953852257,0.10260432288050651,78.48,-0.85,80.87,-1.1,0.5656351178101284,884,336,14.0,3584,114688
2.6299448,-0.010692674219608306,-0.30581164,0.08082956220954657,1.753696483373642,1.7324806948502858,1.7316781123479208,1.7398126482963563,1.736524228254954,1.732492333650589,1.7418707688649495,1.7326264282067616,1.7340719024340312,1.7355744183063506,1.739857417345047,1.7339329918225606,1.7463518341382345,1.7313351432482402,1.7425193230311076,0.338833799213171,0.11373069944481055,0.11039632273217043,0.10647421572357416,0.10545482132583857,0.1021630068620046,0.10870582933227221,0.10681386465827623,0.1160113678003351,0.11755220331251622,0.11856323045988877,0.10239679142832755,0.10940551857153574,0.10372288494060437,0.1026916549851497,72.96,-1.41,85.07,-1.39,0.5923707701821466,876,360,15.0,3840,122880
2.6265085,-0.01235079847741872,-0.27343777,0.07472908489406109,1.753741627931595,1.7326720674832663,1.73239759405454,1.7394699494043986,1.73607270916303,1.7322333176930746,1.7431519389152528,1.7325857639312745,1.7345454812049865,1.735444688796997,1.7398128151893615,1.7339363038539886,1.7463883777459464,1.73185999194781,1.7423152645428976,0.3389565882583459,0.11379917301237583,0.11176743942002455,0.10684180421133836,0.10582299952705701,0.10193473485608896,0.11008922699838877,0.10681934853394827,0.116032067562143,0.11799168251454831,0.11881367713212967,0.10280160817007224,0.10963763458033403,0.10412404518574477,0.10270796492695808,85.41,-1.2,77.89,-1.55,0.5746782491456508,883,384,16.0,4096,131072
2.6107647,-0.013041029912419616,-0.25840968,0.0739794559776783,1.7539998670419057,1.7327450374762217,1.7320922553539275,1.7394897560278575,1.7364802062511444,1.731677250067393,1.7433176418145497,1.7325244267781577,1.7342378159364065,1.7354569296042124,1.7396640201409659,1.7338414450486501,1.7460846920808157,1.7316773255666098,1.7422821521759033,0.33921877667307854,0.11403105556964874,0.1129380659510692,0.10734043897440036,0.10606657390793164,0.10220508103569349,0.11159065372000138,0.1067876457547148,0.11673784709225098,0.11831528147061667,0.11938034320871035,0.10329072612027328,0.1098141424357891,0.10483238212764263,0.10293884178002675,81.12,-1.3,76.83,-1.74,0.6322373943933973,885,408,17.0,4352,139264
2.5943716,-0.014513032990507782,-0.14569315,0.07433786254376173,1.75391672650973,1.7328041613101959,1.7320288439591727,1.7383791248003642,1.7370168765385945,1.7313632011413573,1.7446009397506714,1.7324779490629831,1.73387211561203,1.7353809932867685,1.7397825340429942,1.733716368675232,1.7458204368750254,1.7317985673745473,1.7427421808242798,0.33926237300038337,0.11441152753929297,0.11372091658413411,0.1073686587313811,0.10692783600340287,0.10294430206219356,0.11295532019188007,0.10677042752504348,0.11737643604477246,0.11844876570006212,0.1200458491841952,0.10345823504030704,0.11009675574799378,0.1054965284342567,0.10319957745571931,79.94,-0.91,80.87,-1.22,0.5755399995038074,886,432,18.0,4608,147456
2.609957,-0.015372972944751382,-0.2215944,0.07388374838978053,1.753785487016042,1.7330333570639291,1.7319458325703938,1.738598354657491,1.7369447886943816,1.7319511691729228,1.7449446022510529,1.732503992319107,1.7339796562989553,1.735461664199829,1.73998272617658,1.7333962718645732,1.7458913842837016,1.7318741858005524,1.7424843708674114,0.33922808344165484,0.11480075605213642,0.11428486506144206,0.10752122433235248,0.10671881555269162,0.10319272006551425,0.11356482257445653,0.10676542793711026,0.11802582473804553,0.11871385648846626,0.12067841875056426,0.10380168134967487,0.11046973057091236,0.105673128242294,0.10383271637062232,81.32,-1.06,76.32,-1.22,0.605708941158361,883,456,19.0,4864,155648
2.545297,-0.016147455843165518,-0.17322463,0.07743989083915949,1.754146554072698,1.7333388427893321,1.73150115609169,1.7390264511108398,1.7371078252792358,1.7325399080912272,1.745542937517166,1.7325205226739249,1.734250682592392,1.7357503771781921,1.7399564425150553,1.7333377997080486,1.7460057000319162,1.7316795368989308,1.7422145267327627,0.33933413003881774,0.11524283662438392,0.11528194261093934,0.1077524113158385,0.1067670650780201,0.10332307691375414,0.11403840680917104,0.10676641998191674,0.11825992527107397,0.11898273080587388,0.12123866466184458,0.10431297359367211,0.11087952169279257,0.10604045744985342,0.10453573067982992,83.96,-1.37,82.69,-0.78,0.6284982789252618,887,480,20.0,5120,163840
